-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  34.5553   Longitude 69.2075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2381.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
34.55531,69.20751,1989,01,01,    0.00,    2.57,   -6.02,   -2.87
34.55531,69.20751,1989,01,02,    0.11,    4.22,   -7.08,   -2.83
34.55531,69.20751,1989,01,03,    0.00,    3.02,   -7.47,   -3.13
34.55531,69.20751,1989,01,04,    1.76,    1.72,   -6.06,   -2.96
34.55531,69.20751,1989,01,05,    1.82,    0.53,   -7.89,   -3.82
34.55531,69.20751,1989,01,06,    0.02,   -2.21,  -14.18,   -8.92
34.55531,69.20751,1989,01,07,    0.38,   -0.15,  -12.32,   -7.30
34.55531,69.20751,1989,01,08,    0.00,    0.84,  -13.92,   -7.23
34.55531,69.20751,1989,01,09,    0.00,    1.16,  -10.67,   -5.94
34.55531,69.20751,1989,01,10,    0.00,   -0.24,  -10.74,   -6.36
34.55531,69.20751,1989,01,11,    0.00,    2.38,  -12.07,   -6.30
34.55531,69.20751,1989,01,12,    0.00,    4.64,   -8.71,   -3.45
34.55531,69.20751,1989,01,13,    0.56,   -1.10,   -6.49,   -4.43
34.55531,69.20751,1989,01,14,    0.00,    2.61,   -9.68,   -3.95
34.55531,69.20751,1989,01,15,    0.00,    2.47,   -8.16,   -3.56
34.55531,69.20751,1989,01,16,    0.00,    2.01,  -10.35,   -4.47
34.55531,69.20751,1989,01,17,    0.00,    5.01,   -8.43,   -3.36
34.55531,69.20751,1989,01,18,    0.00,    2.14,   -8.56,   -3.66
34.55531,69.20751,1989,01,19,    0.03,   -1.04,  -10.32,   -5.46
34.55531,69.20751,1989,01,20,    0.00,    4.64,  -11.41,   -4.18
34.55531,69.20751,1989,01,21,    0.00,    5.35,   -8.63,   -3.18
34.55531,69.20751,1989,01,22,    0.00,    3.68,   -7.86,   -3.75
34.55531,69.20751,1989,01,23,    0.00,    4.68,   -8.52,   -3.54
34.55531,69.20751,1989,01,24,    0.00,    6.47,   -7.61,   -1.90
34.55531,69.20751,1989,01,25,    0.00,    3.68,   -5.97,   -2.06
34.55531,69.20751,1989,01,26,    0.00,    2.08,   -6.03,   -2.68
34.55531,69.20751,1989,01,27,    0.03,    2.09,   -8.12,   -3.80
34.55531,69.20751,1989,01,28,    0.00,    5.10,   -9.56,   -2.63
34.55531,69.20751,1989,01,29,    0.00,    6.11,   -5.99,   -0.61
34.55531,69.20751,1989,01,30,    0.78,    2.66,   -4.66,   -1.71
34.55531,69.20751,1989,01,31,    0.17,    1.55,   -7.51,   -3.76
34.55531,69.20751,1989,02,01,    0.00,    4.91,  -10.56,   -3.51
34.55531,69.20751,1989,02,02,    0.04,    4.79,   -4.79,   -1.18
34.55531,69.20751,1989,02,03,    1.04,    6.55,   -6.32,   -0.43
34.55531,69.20751,1989,02,04,    0.39,    1.53,   -9.00,   -4.31
34.55531,69.20751,1989,02,05,    0.98,   -0.65,  -11.44,   -7.33
34.55531,69.20751,1989,02,06,    0.27,   -1.19,  -12.68,   -8.03
34.55531,69.20751,1989,02,07,    0.02,    1.93,  -13.79,   -6.33
34.55531,69.20751,1989,02,08,    0.00,    1.25,  -11.33,   -6.05
34.55531,69.20751,1989,02,09,    0.00,    2.97,  -12.40,   -4.60
34.55531,69.20751,1989,02,10,    0.00,    4.36,   -8.27,   -2.39
34.55531,69.20751,1989,02,11,    0.00,    5.72,   -7.21,   -1.13
34.55531,69.20751,1989,02,12,    0.52,   -1.65,   -5.48,   -3.60
34.55531,69.20751,1989,02,13,    0.29,   -0.82,   -7.11,   -4.25
34.55531,69.20751,1989,02,14,    0.11,    1.78,   -8.86,   -3.54
34.55531,69.20751,1989,02,15,    0.34,   -0.98,   -6.24,   -4.05
34.55531,69.20751,1989,02,16,    0.24,   -1.34,  -10.19,   -5.95
34.55531,69.20751,1989,02,17,    0.89,    1.26,  -12.26,   -6.31
34.55531,69.20751,1989,02,18,    0.03,    0.94,  -12.09,   -6.16
