-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  36.7286   Longitude 68.8681 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 575.09 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
36.72861,68.86811,1989,01,01,    0.02,    9.48,    1.15,    5.05
36.72861,68.86811,1989,01,02,    0.00,   14.02,    0.45,    5.61
36.72861,68.86811,1989,01,03,    0.49,   12.67,    1.66,    5.10
36.72861,68.86811,1989,01,04,    6.29,    5.44,   -0.53,    1.91
36.72861,68.86811,1989,01,05,    4.82,   -0.05,   -5.08,   -1.73
36.72861,68.86811,1989,01,06,    0.01,    5.25,   -5.41,   -1.11
36.72861,68.86811,1989,01,07,    0.01,    7.08,   -4.17,    0.16
36.72861,68.86811,1989,01,08,    0.00,    3.14,   -6.11,   -2.15
36.72861,68.86811,1989,01,09,    0.00,    9.21,   -3.20,    1.66
36.72861,68.86811,1989,01,10,    0.00,    8.69,    0.88,    3.80
36.72861,68.86811,1989,01,11,    0.00,   10.66,   -0.50,    3.39
36.72861,68.86811,1989,01,12,    0.00,   10.67,   -0.34,    4.21
36.72861,68.86811,1989,01,13,    0.15,    4.71,   -1.70,    1.66
36.72861,68.86811,1989,01,14,    0.00,    8.75,   -2.69,    2.10
36.72861,68.86811,1989,01,15,    0.01,    7.54,   -1.25,    2.19
36.72861,68.86811,1989,01,16,    0.10,    6.33,   -1.53,    1.49
